task,n_goal_literals,n_A,n_B,n_C,frac_A,n_ground_options,option_sizes,denominator_varies_with_scene,denominator_if_3_extra,wildcard_synsets,est_initially_true,est_reachable_ceiling,predicates
turning_on_radio,1,1,0,0,1.0,1,1,False,1,,0,1.0,toggled_on
picking_up_trash,3,3,0,0,1.0,1,3,False,3,,0,1.0,inside inside inside
putting_away_Halloween_decorations,8,3,5,0,0.375,64,8,True,10,cabinet.n.01|table.n.02,2,0.75,inside inside inside inside inside nextto !open !open
cleaning_up_plates_and_food,8,6,2,0,0.75,8,8,True,10,electric_refrigerator.n.01|sink.n.01,2,0.75,ontop ontop inside inside inside inside !open !open
can_meat,9,3,6,0,0.3333,36,9,False,9,,5,0.4444,inside inside !open !open inside inside inside inside !open
setting_mousetraps,6,4,2,0,0.6667,384,6,False,6,floor.n.01|sink.n.01,0,1.0,ontop ontop ontop ontop under under
hiding_Easter_eggs,9,9,0,0,1.0,2,9,False,9,tree.n.01,0,1.0,nextto nextto nextto !inside ontop !inside ontop !inside ontop
picking_up_toys,6,6,0,0,1.0,1,6,False,6,,0,1.0,inside inside inside inside inside inside
rearranging_kitchen_furniture,4,1,3,0,0.25,2,4,False,4,cabinet.n.01,1,0.75,inside inside inside !open
putting_up_Christmas_decorations_inside,9,9,0,0,1.0,3888,9,False,9,sofa.n.01|table.n.02,0,1.0,nextto nextto nextto ontop ontop ontop ontop ontop ontop
set_up_a_coffee_station_in_your_kitchen,6,6,0,0,1.0,1,6,False,6,,1,0.8333,ontop nextto ontop nextto ontop nextto
putting_dishes_away_after_cleaning,10,2,8,0,0.2,2,10,True,12,cabinet.n.01,2,0.8,inside inside inside inside inside inside inside inside !open !open
preparing_lunch_box,6,6,0,0,1.0,1,6,False,6,,1,0.8333,inside inside inside inside inside !open
loading_the_car,3,1,2,0,0.3333,1,3,False,3,,0,1.0,inside inside inside
carrying_in_groceries,4,2,2,0,0.5,2,4,False,4,electric_refrigerator.n.01,1,0.75,inside inside !open !open
bringing_in_wood,3,3,0,0,1.0,1,3,False,3,,0,1.0,ontop ontop ontop
moving_boxes_to_storage,2,2,0,0,1.0,2,2,False,2,,0,1.0,ontop ontop
bringing_water,3,3,0,0,1.0,1,3,False,3,,1,0.6667,ontop ontop !open
tidying_bedroom,3,3,0,0,1.0,2,3,False,3,table.n.02,0,1.0,nextto nextto ontop
outfit_a_basic_toolbox,7,2,5,0,0.2857,1,7,False,7,,2,0.7143,inside inside inside inside inside ontop !open
sorting_vegetables,13,13,0,0,1.0,27,13,False,13,,0,1.0,inside inside inside inside inside inside inside inside inside inside inside inside inside
collecting_childrens_toys,7,7,0,0,1.0,2,7,False,7,bookcase.n.01,0,1.0,inside inside inside inside inside inside inside
putting_shoes_on_rack,10,2,0,8,0.2,1,10,False,10,,0,1.0,touching !touching touching !touching touching !touching touching !touching nextto nextto
boxing_books_up_for_storage,6,6,0,0,1.0,1,6,False,6,,0,1.0,inside inside inside inside inside inside
storing_food,8,0,8,0,0.0,256,8,False,8,cabinet.n.01,0,1.0,inside inside inside inside inside inside inside inside
clearing_food_from_table_into_fridge,5,3,2,0,0.6,4,5,False,5,,1,0.8,inside inside inside inside !open
assembling_gift_baskets,16,16,0,0,1.0,331776,16,False,16,,0,1.0,inside inside inside inside inside inside inside inside inside inside inside inside inside inside inside inside
sorting_household_items,8,6,2,0,0.75,1,8,False,8,,1,0.875,under under nextto ontop ontop ontop nextto inside
getting_organized_for_work,10,9,1,0,0.9,1,10,False,10,,3,0.7,nextto ontop under ontop nextto ontop nextto ontop ontop nextto
clean_up_your_desk,11,11,0,0,1.0,1,11,False,11,,1,0.9091,inside inside inside inside inside inside inside ontop ontop ontop !open
