task,task_index,D,mean_episode_len,eval_timeout_frames,rel_eval_cost,valid_rate,episodes_total,episodes_measured,progress_offset_at_reset,initially_true_literals,initially_true_unknown,census_alignment,never_credited_units,lost_at_end_units,demo_completion_rate,frac_intermediate,max_step_frac,n_levels,t_first_credit,gradient_score,episodes_nonmonotonic,max_dip_units,must_flip_predicates,n_goal_literals,reward_events_observed,denominator_status,reward_instrumentation,measurement
installing_a_modem,77,3,2413,3620,0.23,0.97,200,200,0.0,0,3,ambiguous,0.588,0.01,0.495,0.161,0.333,3.41,0.713,0.107,130,2.0,4,4,2.41,COLLAPSED,ok,full-200ep
make_microwave_popcorn,40,1,3238,4857,0.31,1.0,200,200,0.0,0,0,ambiguous,0.0,0.0,1.0,0.0,1.0,2.0,0.987,0.0,0,0.0,2,2,1.0,COLLAPSED,ok,full-200ep
cook_broccolini,96,3,4618,6927,0.44,0.99,200,200,0.0,0,6,ambiguous,0.01,0.0,0.99,0.112,0.665,3.0,0.859,0.037,44,1.0,11,11,2.99,COLLAPSED,ok,full-200ep
store_batteries,82,1,7704,11556,0.73,1.0,200,200,0.0,0,3,ambiguous,0.0,0.0,1.0,0.0,1.0,2.0,0.953,0.0,8,1.0,3,3,1.0,COLLAPSED,ok,full-200ep
sorting_books_on_shelf,99,6,7739,11609,0.73,0.99,200,200,0.0,0,11,ambiguous,2.5,0.323,0.025,0.527,0.168,4.5,0.279,0.439,198,2.0,7,11,3.5,COLLAPSED,ok,full-200ep
clean_boxing_gloves,31,1,8235,12353,0.78,1.0,200,200,0.0,0,0,ambiguous,0.0,0.0,1.0,0.0,1.0,2.0,0.955,0.0,0,0.0,2,2,1.0,COLLAPSED,ok,full-200ep
wash_a_baseball_cap,32,1,8349,12524,0.79,1.0,200,200,0.0,0,0,ambiguous,0.0,0.0,1.0,0.0,1.0,2.0,0.927,0.0,0,0.0,2,2,1.0,COLLAPSED,ok,full-200ep
clean_up_broken_glass,80,1,8691,13037,0.82,1.0,200,200,0.0,0,3,ambiguous,0.0,0.0,1.0,0.0,1.0,2.0,0.97,0.0,8,1.0,3,3,1.0,COLLAPSED,ok,full-200ep
packing_meal_for_delivery,81,2,8860,13290,0.84,0.98,200,200,0.0,0,6,ambiguous,0.327,0.015,0.658,0.069,0.5,2.67,0.872,0.034,115,1.0,6,6,1.67,COLLAPSED,ok,full-200ep
cook_hot_dogs,45,1,9145,13717,0.87,0.99,200,200,0.0,0,0,ambiguous,0.0,0.0,1.0,0.0,1.0,2.0,0.994,0.0,0,0.0,2,2,1.0,COLLAPSED,ok,full-200ep
dispose_of_glass,76,1,9195,13793,0.87,1.0,200,200,0.0,0,4,ambiguous,0.0,0.0,1.0,0.0,1.0,2.0,0.976,0.0,4,1.0,4,4,1.0,COLLAPSED,ok,full-200ep
store_produce,91,1,9522,14284,0.9,1.0,200,200,0.0,0,4,ambiguous,0.0,0.0,1.0,0.0,1.0,2.0,0.913,0.0,0,0.0,4,4,1.0,COLLAPSED,ok,full-200ep
re_shelving_library_books,55,1,9528,14293,0.9,1.0,200,200,0.0,0,3,ambiguous,0.0,0.0,1.0,0.0,1.0,2.0,0.98,0.0,2,1.0,3,3,1.0,COLLAPSED,ok,full-200ep
make_gift_bags_for_baby_showers,86,3,9651,14476,0.92,0.985,200,200,0.0,0,6,ambiguous,1.015,0.076,0.289,0.147,0.337,2.98,0.69,0.097,149,1.0,6,6,1.98,COLLAPSED,ok,full-200ep
turning_out_all_lights_before_sleep,66,2,10006,15009,0.95,0.995,200,200,0.0,0,0,ambiguous,0.181,0.0,0.819,0.182,0.5,2.82,0.765,0.091,36,1.0,5,5,1.82,COLLAPSED,ok,full-200ep
collecting_aluminum_cans,87,1,10203,15304,0.97,1.0,200,200,0.0,0,6,ambiguous,0.0,0.0,1.0,0.0,1.0,2.0,0.975,0.0,7,1.0,6,6,1.0,COLLAPSED,ok,full-200ep
sorting_bottles_cans_and_paper,52,3,10264,15396,0.97,1.0,200,200,0.0,0,16,ambiguous,0.155,0.015,0.845,0.511,0.333,3.85,0.453,0.341,44,1.0,16,16,2.85,COLLAPSED,ok,full-200ep
chopping_wood,44,4,10752,16128,1.02,1.0,200,200,0.0,0,0,ambiguous,0.305,0.01,0.79,0.575,0.25,4.7,0.32,0.431,42,1.0,8,8,3.69,COLLAPSED,ok,full-200ep
putting_away_toys,54,1,11297,16945,1.07,1.0,200,200,0.0,0,8,ambiguous,0.0,0.0,1.0,0.0,1.0,2.0,0.989,0.0,0,0.0,8,8,1.0,COLLAPSED,ok,full-200ep
putting_dirty_dishes_in_sink,85,2,12149,18223,1.15,1.0,200,200,0.0,0,4,ambiguous,0.495,0.035,0.475,0.304,0.5,2.5,0.359,0.152,141,1.0,4,4,1.5,COLLAPSED,ok,full-200ep
cleaning_up_branches_and_twigs,68,2,12527,18791,1.19,0.97,200,200,0.0,0,5,ambiguous,0.773,0.01,0.216,0.094,0.5,2.23,0.681,0.047,71,1.0,4,5,1.23,COLLAPSED,ok,full-200ep
freeze_fruit,50,4,12619,18928,1.2,0.955,200,200,0.0,0,7,ambiguous,1.288,0.047,0.12,0.397,0.253,3.71,0.517,0.296,191,1.0,6,7,2.71,COLLAPSED,ok,full-200ep
rearrange_your_room,88,2,12855,19282,1.22,1.0,200,200,0.0,0,3,ambiguous,0.225,0.0,0.775,0.214,0.5,2.77,0.7,0.107,88,1.0,3,3,1.77,COLLAPSED,ok,full-200ep
setup_a_bar_for_a_cocktail_party,97,9,13419,20128,1.27,0.97,200,200,0.0,0,20,ambiguous,2.526,0.098,0.088,0.749,0.113,7.47,0.161,0.664,192,3.0,20,20,6.47,COLLAPSED,ok,full-200ep
cook_cabbage,41,2,14145,21217,1.34,0.99,200,200,0.0,0,0,ambiguous,0.0,0.0,1.0,0.0,0.5,3.0,0.991,0.0,0,0.0,4,4,2.0,COLLAPSED,ok,full-200ep
laying_tile_floors,98,2,14351,21526,1.36,0.83,200,200,0.0,0,8,ambiguous,0.108,0.018,0.874,0.115,0.527,2.89,0.666,0.055,165,2.0,8,8,1.89,COLLAPSED,ok,full-200ep
dispose_of_batteries,94,2,14428,21643,1.37,0.985,200,200,0.0,0,4,ambiguous,0.503,0.0,0.497,0.172,0.5,2.5,0.439,0.086,143,1.0,3,4,1.5,COLLAPSED,ok,full-200ep
cook_brussels_sprouts,95,3,15662,23493,1.49,0.97,200,200,0.0,0,10,ambiguous,0.794,0.0,0.222,0.697,0.333,3.21,0.121,0.465,193,1.0,24,26,2.21,COLLAPSED,ok,full-200ep
stacking_wood,58,1,15939,23909,1.51,1.0,200,200,0.0,0,6,ambiguous,0.0,0.0,1.0,0.0,1.0,2.0,0.986,0.0,126,1.0,6,6,1.0,COLLAPSED,ok,full-200ep
