task,task_name,D,n_magnitudes,unit_flip_observed,all_magnitudes_multiple_of_1_over_D,magnitudes,N_toplevel_json,episodes,n_valid,valid_rate,eps_needing_repair,repair_rate,rewards_dropped,term_last_all,any_truncated,nz_frames,multiflip_frames,multiflip_rate,max_k,phi0_mean,phi0_median,phi0_min,phi0_max,phi0_frac_gt0,reward_instrumentation
0,turning_on_radio,1,1,True,True,1,1,98,98,1.0,12,0.1224489795918367,12,True,False,110,0,0.0,1,0.0,0.0,0.0,0.0,0.0,ok
1,picking_up_trash,3,3,True,True,0.333333;0.666667;1,1,71,69,0.971830985915493,14,0.1971830985915492,15,True,False,242,3,0.012396694214876,3,0.0289855055187059,0.0,0.0,0.3333333134651184,0.0869565217391304,ok
2,putting_away_Halloween_decorations,7,3,True,True,0.142857;0.285714;0.428571,4,45,39,0.8666666666666667,29,0.6444444444444445,32,True,False,512,12,0.0234375,3,0.0879120689172011,0.1428571045398712,0.0,0.285714253783226,0.5128205128205128,ok
3,cleaning_up_plates_and_food,7,3,True,True,0.142857;0.285714;0.571429,4,51,51,1.0,48,0.9411764705882352,76,True,False,2307,5,0.0021673168617251,4,0.1512604723958408,0.1428571045398712,0.0,0.285714253783226,0.8627450980392157,ok
4,can_meat,9,2,True,True,0.111111;0.222222,4,48,44,0.9166666666666666,48,1.0,128,True,False,705,2,0.0028368794326241,2,0.4065656521442262,0.444444440305233,0.1111111044883728,0.5555555522441864,1.0,ok
5,setting_mousetraps,6,3,True,True,0.166667;0.333333;0.5,2,43,41,0.9534883720930232,12,0.2790697674418604,13,False,False,442,14,0.0316742081447963,3,0.1991869723651467,0.166666641831398,0.0,0.3333333134651184,0.8536585365853658,ok
6,hiding_Easter_eggs,9,2,True,True,0.111111;0.222222,2,53,53,1.0,8,0.1509433962264151,9,True,False,388,3,0.0077319587628865,2,0.3626834334067578,0.3333333283662796,0.3333333283662796,0.5555555522441864,1.0,ok
7,picking_up_toys,6,2,True,True,0.166667;0.833333,3,51,49,0.9607843137254902,14,0.2745098039215686,17,True,False,450,1,0.0022222222222222,5,0.1224489649947808,0.166666641831398,0.0,0.3333333134651184,0.6122448979591837,ok
8,rearranging_kitchen_furniture,,0,False,False,,1,59,0,0.0,0,0.0,0,True,False,0,0,0.0,0,,,,,,BROKEN_no_signal
9,putting_up_Christmas_decorations_inside,9,3,True,True,0.111111;0.222222;0.333333,5,49,39,0.7959183673469388,23,0.4693877551020408,27,True,False,736,14,0.0190217391304347,3,0.2022791963357191,0.2222222164273262,0.1111111044883728,0.444444440305233,1.0,ok
10,set_up_a_coffee_station_in_your_kitchen,6,1,True,True,0.166667,6,66,56,0.8484848484848485,26,0.3939393939393939,32,True,False,638,0,0.0,1,0.2410714075501476,0.166666641831398,0.0,0.6666666567325592,0.9464285714285714,ok
11,putting_dishes_away_after_cleaning,14,1,True,True,0.0714286,2,41,28,0.6829268292682927,29,0.7073170731707317,31,True,False,98,0,0.0,1,0.9285714253783226,0.9285714253783226,0.9285714253783226,0.9285714253783226,1.0,PROVEN_incomplete
12,preparing_lunch_box,6,2,True,True,0.166667;0.333333,5,43,34,0.7906976744186046,10,0.2325581395348837,11,True,False,377,1,0.0026525198938992,2,0.1960784117965137,0.166666641831398,0.0,0.4999999850988388,0.8529411764705882,ok
13,loading_the_car,3,1,True,True,0.333333,3,49,48,0.979591836734694,10,0.2040816326530612,11,True,False,174,0,0.0,1,0.0069444440305233,0.0,0.0,0.3333333134651184,0.0208333333333333,ok
14,carrying_in_groceries,4,1,True,True,0.25,3,45,39,0.8666666666666667,5,0.1111111111111111,5,True,False,248,0,0.0,1,0.2179487179487179,0.25,0.0,0.5,0.8205128205128205,ok
15,bringing_in_wood,3,2,True,True,0.333333;0.666667,1,46,45,0.9782608695652174,1,0.0217391304347826,1,True,False,171,1,0.0058479532163742,2,0.0222222208976745,0.0,0.0,0.3333333134651184,0.0666666666666666,ok
16,moving_boxes_to_storage,2,1,True,True,0.5,1,45,22,0.4888888888888889,4,0.0888888888888888,4,True,False,69,0,0.0,1,0.0,0.0,0.0,0.0,0.0,ok
17,bringing_water,3,2,True,True,0.333333;0.666667,2,51,43,0.8431372549019608,38,0.7450980392156863,40,True,False,376,1,0.0026595744680851,2,0.0,0.0,0.0,0.0,0.0,ok
18,tidying_bedroom,3,1,True,True,0.333333,3,40,2,0.05,6,0.15,7,True,False,188,0,0.0,1,0.3333333134651184,0.3333333134651184,0.3333333134651184,0.3333333134651184,1.0,ok
19,outfit_a_basic_toolbox,7,2,True,True,0.142857;0.285714,7,54,54,1.0,46,0.8518518518518519,65,True,False,514,6,0.0116731517509727,2,0.1428571144739786,0.1428571045398712,0.0,0.4285714030265808,0.7777777777777778,ok
20,sorting_vegetables,13,1,True,True,0.0769231,3,55,21,0.3818181818181818,1,0.0181818181818181,1,True,False,238,0,0.0,1,0.7032966922436442,0.6923076808452606,0.5384615212678909,0.7692307606339455,1.0,SUSPECT_incomplete
21,collecting_childrens_toys,6,2,True,True,0.166667;0.333333,1,48,31,0.6458333333333334,13,0.2708333333333333,13,True,False,396,1,0.0025252525252525,2,0.0645161232640666,0.0,0.0,0.3333333134651184,0.2580645161290322,ok
22,putting_shoes_on_rack,10,2,True,True,0.1;0.2,4,53,44,0.8301886792452831,2,0.0377358490566037,2,True,False,768,15,0.01953125,2,0.1113636282018639,0.0999999865889549,0.0,0.4999999925494194,0.6590909090909091,ok
23,boxing_books_up_for_storage,6,1,True,True,0.166667,1,46,37,0.8043478260869565,15,0.3260869565217391,17,True,False,377,0,0.0,1,0.1846846716629492,0.166666641831398,0.0,0.6666666567325592,0.6216216216216216,ok
24,storing_food,,0,False,False,,4,48,0,0.0,0,0.0,0,True,False,0,0,0.0,0,,,,,,BROKEN_no_signal
25,clearing_food_from_table_into_fridge,5,2,True,True,0.2;0.4,4,46,32,0.6956521739130435,5,0.108695652173913,7,True,False,316,1,0.0031645569620253,2,0.2687499918974936,0.3999999910593033,0.0,0.3999999910593033,0.8125,ok
26,assembling_gift_baskets,16,2,True,True,0.0625;0.125,4,43,11,0.2558139534883721,5,0.1162790697674418,5,False,False,228,2,0.0087719298245614,2,0.6988636363636364,0.6875,0.5625,0.875,1.0,SUSPECT_incomplete
27,sorting_household_items,8,2,True,True,0.125;0.25,7,50,48,0.96,28,0.56,30,True,False,806,1,0.0012406947890818,2,0.1328125,0.125,0.0,0.25,0.9583333333333334,ok
