task_index,task_name,n_episodes,mean_len,median_len,p90_len,min_len,max_len,eval_timeout_frames,rel_eval_cost
0,turning_on_radio,200,2149.6,2109.5,2834.3,970,4353,3224,0.204
34,hanging_pictures,200,2387.4,2309.5,3108.1,993,8337,3581,0.226
69,vacuuming_floors,200,2411.8,2323.5,3282.3,1211,4561,3618,0.229
77,installing_a_modem,200,2413.0,2130.0,3545.8,1527,4952,3620,0.229
63,installing_smoke_detectors,200,2568.8,2430.5,3361.3,1602,4653,3853,0.244
60,scrubbing_bathroom_floor,200,3153.8,3101.5,4446.0,1066,5656,4731,0.299
40,make_microwave_popcorn,200,3237.8,3199.5,3981.1,1584,4853,4857,0.307
78,make_cabinet_doors,200,3442.5,3362.0,4477.9,1938,6668,5164,0.326
90,composting_waste,200,3638.6,3575.0,4384.6,2673,5440,5458,0.345
93,clean_a_keyboard,200,3876.1,3915.0,5359.4,1116,7046,5814,0.368
35,attach_a_camera_to_a_tripod,200,3911.6,3792.5,5152.7,1851,7042,5867,0.371
89,installing_a_fax_machine,200,4076.9,4032.0,5258.7,2031,8584,6115,0.387
92,installing_a_scanner,200,4258.5,3852.0,6444.5,1287,8688,6388,0.404
57,sweeping_garage,200,4473.0,4402.5,5362.0,2982,8047,6710,0.424
56,make_rose_centerpieces,200,4532.2,4327.5,5587.3,3088,8067,6798,0.43
96,cook_broccolini,200,4617.8,4568.5,5836.7,2443,7255,6927,0.438
1,picking_up_trash,200,5267.8,5352.5,6692.1,1719,12195,7902,0.5
37,clean_a_trumpet,200,5307.2,5226.0,6269.9,3089,7759,7961,0.503
59,organizing_art_supplies,200,6194.4,6049.0,7337.0,4031,9976,9292,0.587
10,set_up_a_coffee_station_in_your_kitchen,200,6266.2,6105.5,8089.1,2739,10335,9399,0.594
62,halve_an_egg,200,6377.0,6391.0,7617.7,3497,9099,9566,0.605
42,chop_an_onion,200,6399.8,6288.5,8054.1,3731,11856,9600,0.607
38,spraying_for_bugs,200,6479.5,6272.5,7865.1,4104,11966,9719,0.614
67,boxing_food_after_dinner,200,6697.7,6578.5,8185.5,4881,10263,10047,0.635
83,store_honey,200,6766.8,7226.0,8670.5,2861,10097,10150,0.642
51,cook_a_brisket,200,7335.0,7269.5,9334.0,4025,10657,11002,0.696
6,hiding_Easter_eggs,200,7619.7,7082.0,10847.2,3318,16405,11430,0.723
46,cook_bacon,200,7679.5,7397.0,9257.1,6120,11487,11519,0.728
82,store_batteries,200,7704.2,8019.5,9620.8,4479,10790,11556,0.731
22,putting_shoes_on_rack,200,7726.1,7401.5,8785.3,5167,17397,11589,0.733
99,sorting_books_on_shelf,200,7739.4,7225.5,10731.2,4876,12345,11609,0.734
70,thawing_frozen_food,200,8229.6,7795.0,11268.7,5357,15920,12344,0.78
31,clean_boxing_gloves,200,8235.4,7613.0,12421.1,4321,15103,12353,0.781
12,preparing_lunch_box,200,8245.3,7606.0,10292.1,5611,17730,12368,0.782
39,spraying_fruit_trees,200,8345.9,8214.5,9792.0,6500,12946,12519,0.791
32,wash_a_baseball_cap,200,8349.4,8311.5,9852.1,6115,11371,12524,0.792
72,cook_a_frozen_pie,200,8668.0,8932.5,10528.8,4572,11626,13002,0.822
80,clean_up_broken_glass,200,8691.4,8543.0,11650.9,4548,14021,13037,0.824
81,packing_meal_for_delivery,200,8859.9,8817.0,10311.0,6359,11807,13290,0.84
8,rearranging_kitchen_furniture,200,8943.0,8376.5,11487.7,5377,20310,13414,0.848
30,setting_the_fire,200,9118.1,8807.0,11210.4,5681,15066,13677,0.865
45,cook_hot_dogs,200,9144.9,8806.5,10771.2,6517,22410,13717,0.867
76,dispose_of_glass,200,9195.3,8918.0,11690.0,5807,14195,13793,0.872
17,bringing_water,200,9438.5,9199.0,12483.2,5779,14746,14158,0.895
91,store_produce,200,9522.4,9076.5,13184.5,6349,15453,14284,0.903
55,re_shelving_library_books,200,9528.4,9648.5,11404.4,4962,14278,14293,0.904
86,make_gift_bags_for_baby_showers,200,9650.9,9079.0,12775.4,5923,15823,14476,0.915
66,turning_out_all_lights_before_sleep,200,10006.1,9851.0,11872.8,7349,13889,15009,0.949
5,setting_mousetraps,200,10196.1,9956.5,12622.8,5993,25521,15294,0.967
87,collecting_aluminum_cans,200,10202.9,9825.0,13128.9,5915,15557,15304,0.967
52,sorting_bottles_cans_and_paper,200,10263.8,10079.5,12330.5,6326,18260,15396,0.973
19,outfit_a_basic_toolbox,200,10638.0,10073.5,14791.2,5992,19604,15957,1.009
79,polishing_shoes,200,10738.0,10609.0,12527.4,7293,15762,16107,1.018
44,chopping_wood,200,10752.0,10542.5,14620.1,5713,18689,16128,1.02
11,putting_dishes_away_after_cleaning,200,10953.4,10597.0,13981.8,7864,16202,16430,1.039
18,tidying_bedroom,200,11037.4,10734.0,15167.0,4634,24817,16556,1.047
74,carrying_out_garden_furniture,200,11058.8,10949.5,12618.4,8489,13946,16588,1.049
61,bringing_paper_to_recycling,200,11214.3,11149.5,13687.5,7591,15028,16821,1.063
33,wash_dog_toys,200,11222.8,11033.5,12485.3,8768,25030,16834,1.064
75,put_together_a_basic_pruning_kit,200,11264.5,11483.5,13686.3,6608,16169,16897,1.068
54,putting_away_toys,200,11296.8,11418.0,13631.0,7324,18428,16945,1.071
65,unloading_the_car,200,11323.4,10840.5,14078.6,7899,18351,16985,1.074
4,can_meat,200,11847.1,11595.5,14200.0,8031,17135,17771,1.123
20,sorting_vegetables,200,11903.7,11638.5,14790.3,6219,19282,17856,1.129
36,clean_a_patio,200,12070.8,11681.5,15004.1,8625,22174,18106,1.145
85,putting_dirty_dishes_in_sink,200,12148.6,11866.0,14275.0,9248,15554,18223,1.152
47,freeze_pies,200,12455.2,11960.5,14184.9,9615,29741,18683,1.181
68,cleaning_up_branches_and_twigs,200,12527.1,12528.0,14791.8,7720,16680,18791,1.188
53,tidying_living_room,200,12565.9,11825.0,16686.8,7651,20091,18849,1.192
50,freeze_fruit,200,12618.8,12215.0,15173.1,9091,19923,18928,1.197
88,rearrange_your_room,200,12855.0,12060.0,16443.0,8548,18262,19282,1.219
84,tidying_bathroom,200,13003.2,11843.5,16802.2,8705,20766,19505,1.233
25,clearing_food_from_table_into_fridge,200,13068.2,12884.5,15012.3,9880,19252,19602,1.239
97,setup_a_bar_for_a_cocktail_party,200,13418.9,12756.0,17807.3,9493,19404,20128,1.272
15,bringing_in_wood,200,13535.7,13898.5,16065.0,8366,17719,20304,1.284
