chunk,task,ep,T,nnz,nneg,mags,csmin,csmax,csfin,term0,termlast,nterm
0,0,0,1956,2,1,"(np.float64(1.0),)",-1.0,0.0,0.0,False,True,592
0,0,1,2340,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,859
0,0,2,2107,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,817
0,0,3,1875,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,555
0,0,4,1547,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,418
0,0,5,3227,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,626
0,0,6,2304,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,671
0,0,7,2585,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,763
0,0,8,2427,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,679
0,0,9,2277,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,327
0,0,10,2769,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,210
0,0,11,2288,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,527
0,0,12,1991,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,240
0,0,13,2604,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,259
0,0,14,2375,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,524
0,0,15,1861,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,250
0,0,16,2217,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,373
0,0,17,2399,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,222
0,0,18,1986,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,583
0,0,19,2565,2,1,"(np.float64(1.0),)",-1.0,0.0,0.0,False,True,571
0,0,20,1943,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,394
0,0,21,2048,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,569
0,0,22,2577,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,466
0,0,23,2175,2,1,"(np.float64(1.0),)",-1.0,0.0,0.0,False,True,380
0,0,24,1829,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,474
0,0,25,2176,2,1,"(np.float64(1.0),)",-1.0,0.0,0.0,False,True,469
0,0,26,1886,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,387
0,0,27,1951,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,549
0,0,28,2834,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,788
0,0,29,2923,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,744
0,0,30,2263,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,765
0,0,31,1650,2,1,"(np.float64(1.0),)",-1.0,0.0,0.0,False,True,456
0,0,32,2168,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,744
0,0,33,2751,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,802
0,0,34,1656,2,1,"(np.float64(1.0),)",-1.0,0.0,0.0,False,True,606
0,0,35,1770,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,567
0,0,36,2545,2,1,"(np.float64(1.0),)",-1.0,0.0,0.0,False,True,729
0,0,37,2236,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,545
0,0,38,2032,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,434
0,0,39,2287,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,536
0,0,40,2274,2,1,"(np.float64(1.0),)",-1.0,0.0,0.0,False,True,600
0,0,41,2218,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,621
0,0,42,1646,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,449
0,0,43,2655,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,655
0,0,44,2572,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,551
0,0,45,2289,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,594
0,0,46,2654,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,576
0,0,47,2037,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,623
0,0,48,2461,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,650
0,0,49,2632,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,573
0,0,50,1850,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,390
0,0,51,2305,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,543
0,0,52,2377,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,664
0,0,53,2566,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,683
0,0,54,2631,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,702
0,0,55,1930,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,557
0,0,56,1722,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,426
0,0,57,2826,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,635
0,0,58,2284,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,663
0,0,59,2263,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,588
0,0,60,1920,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,741
0,0,61,2431,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,858
0,0,62,2003,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,727
0,0,63,2114,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,773
0,0,64,2129,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,503
0,0,65,2079,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,774
0,0,66,2459,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,916
0,0,67,2099,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,787
0,0,68,2506,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,870
0,0,69,2180,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,808
0,0,70,2530,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,975
0,0,71,2517,2,1,"(np.float64(1.0),)",-1.0,0.0,0.0,False,True,676
0,0,72,2763,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,750
0,0,73,2339,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,727
0,0,74,2171,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,684
0,0,75,2567,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,834
0,0,76,2144,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,781
0,0,77,2837,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,504
0,0,78,2199,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,614
0,0,79,1993,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,545
0,0,80,2085,2,1,"(np.float64(1.0),)",-1.0,0.0,0.0,False,True,574
0,0,81,2643,2,1,"(np.float64(1.0),)",-1.0,0.0,0.0,False,True,608
0,0,82,2730,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,790
0,0,83,2432,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,488
0,0,84,2160,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,480
0,0,85,2663,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,682
0,0,86,2223,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,706
0,0,87,3260,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,808
0,0,88,2636,2,1,"(np.float64(1.0),)",-1.0,0.0,0.0,False,True,590
0,0,89,2316,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,790
0,0,90,2393,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,811
0,0,91,2413,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,803
0,0,92,2517,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,562
0,0,93,1910,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,530
0,0,94,2900,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,916
0,0,95,4340,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,1389
0,0,96,2870,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,1122
0,0,97,3502,1,0,"(np.float64(1.0),)",0.0,1.0,1.0,False,True,935
50,50,10000,10149,6,2,"(np.float64(0.25),)",0.0,0.5,0.5,False,True,124
50,50,10001,14929,5,1,"(np.float64(0.25),)",0.0,0.75,0.75,False,True,157
50,50,10002,12502,7,2,"(np.float64(0.25),)",0.0,0.75,0.75,False,True,92
50,50,10003,13960,7,1,"(np.float64(0.25),)",0.0,1.25,1.25,False,True,135
50,50,10004,11449,6,1,"(np.float64(0.25),)",0.0,1.0,1.0,False,True,148
50,50,10005,13463,6,2,"(np.float64(0.25),)",-0.25,0.5,0.5,False,True,115
50,50,10006,11489,5,1,"(np.float64(0.25),)",0.0,0.75,0.75,False,True,146
50,50,10007,9346,5,1,"(np.float64(0.25),)",0.0,0.75,0.75,False,True,142
50,50,10008,11704,5,1,"(np.float64(0.25),)",0.0,0.75,0.75,False,True,87
50,50,10009,12522,9,3,"(np.float64(0.25),)",0.0,0.75,0.75,False,True,92
50,50,10010,11822,8,3,"(np.float64(0.25),)",-0.25,0.5,0.5,False,True,146
50,50,10011,11853,5,1,"(np.float64(0.25),)",0.0,0.75,0.75,False,True,122
50,50,10012,11949,5,1,"(np.float64(0.25),)",0.0,0.75,0.75,False,True,141
50,50,10013,12390,5,1,"(np.float64(0.25),)",0.0,0.75,0.75,False,True,154
50,50,10014,14351,8,2,"(np.float64(0.25),)",0.0,1.0,1.0,False,True,161
50,50,10015,9091,6,1,"(np.float64(0.25),)",0.0,1.0,1.0,False,True,120
50,50,10016,12220,10,4,"(np.float64(0.25),)",-0.25,0.5,0.5,False,True,122
