task,task_name,N_json,D_obs,ep,T,nnz,nneg,n_multiflip,max_k,term_last,trunc_any,phi0,phi0_raw,phi0_count,phi0_integral,dropped,term_ok,inrange,integral,valid
0,turning_on_radio,1,1,0,1956,2,1,0,1,True,False,0.0,1.0,0.0,True,1,True,True,True,True
0,turning_on_radio,1,1,1,2340,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,2,2107,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,3,1875,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,4,1547,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,5,3227,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,6,2304,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,7,2585,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,8,2427,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,9,2277,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,10,2769,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,11,2288,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,12,1991,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,13,2604,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,14,2375,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,15,1861,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,16,2217,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,17,2399,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,18,1986,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,19,2565,2,1,0,1,True,False,0.0,1.0,0.0,True,1,True,True,True,True
0,turning_on_radio,1,1,20,1943,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,21,2048,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,22,2577,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,23,2175,2,1,0,1,True,False,0.0,1.0,0.0,True,1,True,True,True,True
0,turning_on_radio,1,1,24,1829,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,25,2176,2,1,0,1,True,False,0.0,1.0,0.0,True,1,True,True,True,True
0,turning_on_radio,1,1,26,1886,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,27,1951,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,28,2834,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,29,2923,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,30,2263,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,31,1650,2,1,0,1,True,False,0.0,1.0,0.0,True,1,True,True,True,True
0,turning_on_radio,1,1,32,2168,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,33,2751,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,34,1656,2,1,0,1,True,False,0.0,1.0,0.0,True,1,True,True,True,True
0,turning_on_radio,1,1,35,1770,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,36,2545,2,1,0,1,True,False,0.0,1.0,0.0,True,1,True,True,True,True
0,turning_on_radio,1,1,37,2236,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,38,2032,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,39,2287,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,40,2274,2,1,0,1,True,False,0.0,1.0,0.0,True,1,True,True,True,True
0,turning_on_radio,1,1,41,2218,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,42,1646,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,43,2655,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,44,2572,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,45,2289,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,46,2654,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,47,2037,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,48,2461,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,49,2632,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,50,1850,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,51,2305,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,52,2377,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,53,2566,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,54,2631,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,55,1930,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,56,1722,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,57,2826,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,58,2284,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,59,2263,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,60,1920,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,61,2431,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,62,2003,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,63,2114,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,64,2129,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,65,2079,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,66,2459,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,67,2099,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,68,2506,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,69,2180,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,70,2530,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,71,2517,2,1,0,1,True,False,0.0,1.0,0.0,True,1,True,True,True,True
0,turning_on_radio,1,1,72,2763,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,73,2339,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,74,2171,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,75,2567,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,76,2144,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,77,2837,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,78,2199,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,79,1993,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,80,2085,2,1,0,1,True,False,0.0,1.0,0.0,True,1,True,True,True,True
0,turning_on_radio,1,1,81,2643,2,1,0,1,True,False,0.0,1.0,0.0,True,1,True,True,True,True
0,turning_on_radio,1,1,82,2730,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,83,2432,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,84,2160,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,85,2663,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,86,2223,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,87,3260,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,88,2636,2,1,0,1,True,False,0.0,1.0,0.0,True,1,True,True,True,True
0,turning_on_radio,1,1,89,2316,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,90,2393,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,91,2413,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,92,2517,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,93,1910,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,94,2900,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,95,4340,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,96,2870,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
0,turning_on_radio,1,1,97,3502,1,0,0,1,True,False,0.0,0.0,0.0,True,0,True,True,True,True
1,picking_up_trash,1,3,200,7667,3,0,0,1,True,False,0.0,-2.9802322387695312e-08,0.0,True,0,True,True,True,True
1,picking_up_trash,1,3,201,3132,3,0,0,1,True,False,0.0,-2.9802322387695312e-08,0.0,True,0,True,True,True,True
1,picking_up_trash,1,3,202,5811,4,1,0,1,True,False,0.3333333134651184,0.3333333134651184,0.9999999403953552,True,0,True,True,True,True
1,picking_up_trash,1,3,203,7497,3,0,0,1,True,False,0.0,-2.9802322387695312e-08,0.0,True,0,True,True,True,True
1,picking_up_trash,1,3,204,7214,3,0,0,1,True,False,0.0,-2.9802322387695312e-08,0.0,True,0,True,True,True,True
1,picking_up_trash,1,3,205,6233,3,0,0,1,True,False,0.0,-2.9802322387695312e-08,0.0,True,0,True,True,True,True
1,picking_up_trash,1,3,206,6346,3,0,0,1,True,False,0.0,-2.9802322387695312e-08,0.0,True,0,True,True,True,True
1,picking_up_trash,1,3,207,5540,3,0,0,1,True,False,0.0,-2.9802322387695312e-08,0.0,True,0,True,True,True,True
1,picking_up_trash,1,3,208,5827,3,0,0,1,True,False,0.0,-2.9802322387695312e-08,0.0,True,0,True,True,True,True
1,picking_up_trash,1,3,209,6983,3,0,0,1,True,False,0.0,-2.9802322387695312e-08,0.0,True,0,True,True,True,True
1,picking_up_trash,1,3,210,6310,3,0,0,1,True,False,0.0,-2.9802322387695312e-08,0.0,True,0,True,True,True,True
1,picking_up_trash,1,3,211,6326,4,1,1,3,True,False,0.0,0.9999999701976776,0.0,True,1,True,True,True,True
1,picking_up_trash,1,3,212,8465,3,0,0,1,True,False,0.0,-2.9802322387695312e-08,0.0,True,0,True,True,True,True
1,picking_up_trash,1,3,213,7986,3,0,0,1,True,False,0.0,-2.9802322387695312e-08,0.0,True,0,True,True,True,True
1,picking_up_trash,1,3,214,5060,3,0,0,1,True,False,0.0,-2.9802322387695312e-08,0.0,True,0,True,True,True,True
1,picking_up_trash,1,3,215,5981,4,1,0,1,True,False,0.3333333134651184,0.3333333134651184,0.9999999403953552,True,0,True,True,True,True
1,picking_up_trash,1,3,216,6296,5,1,0,1,True,False,0.0,-2.9802322387695312e-08,0.0,True,0,True,True,True,True
1,picking_up_trash,1,3,217,5537,4,1,0,1,True,False,0.0,0.3333333134651184,0.0,True,1,True,True,True,True
1,picking_up_trash,1,3,218,8107,3,0,0,1,True,False,0.0,-2.9802322387695312e-08,0.0,True,0,True,True,True,True
1,picking_up_trash,1,3,219,5992,3,0,0,1,True,False,0.0,-2.9802322387695312e-08,0.0,True,0,True,True,True,True
1,picking_up_trash,1,3,220,4510,5,2,0,1,True,False,0.3333333134651184,0.6666666567325592,0.9999999403953552,True,1,False,True,True,False
1,picking_up_trash,1,3,221,5799,4,1,0,1,True,False,0.3333333134651184,0.3333333134651184,0.9999999403953552,True,0,True,True,True,True
1,picking_up_trash,1,3,222,6856,3,0,0,1,True,False,0.0,-2.9802322387695312e-08,0.0,True,0,True,True,True,True
1,picking_up_trash,1,3,223,6634,3,0,0,1,True,False,0.0,-2.9802322387695312e-08,0.0,True,0,True,True,True,True
1,picking_up_trash,1,3,224,7306,4,1,1,2,True,False,0.0,0.6666666567325592,0.0,True,1,True,True,True,True
1,picking_up_trash,1,3,225,5364,4,1,0,1,True,False,0.0,0.3333333134651184,0.0,True,1,True,True,True,True
1,picking_up_trash,1,3,226,5852,3,0,0,1,True,False,0.0,-2.9802322387695312e-08,0.0,True,0,True,True,True,True
1,picking_up_trash,1,3,227,6013,3,0,0,1,True,False,0.0,-2.9802322387695312e-08,0.0,True,0,True,True,True,True
1,picking_up_trash,1,3,228,6092,4,1,0,1,True,False,0.0,0.3333333134651184,0.0,True,1,True,True,True,True
1,picking_up_trash,1,3,229,6118,5,2,1,2,True,False,0.0,1.0,0.0,True,2,True,True,True,True
1,picking_up_trash,1,3,230,6911,3,0,0,1,True,False,0.0,-2.9802322387695312e-08,0.0,True,0,True,True,True,True
1,picking_up_trash,1,3,231,6075,4,1,0,1,True,False,0.3333333134651184,0.3333333134651184,0.9999999403953552,True,0,True,True,True,True
1,picking_up_trash,1,3,232,5890,6,2,0,1,True,False,0.3333333134651184,0.3333333134651184,0.9999999403953552,True,0,False,True,True,False
1,picking_up_trash,1,3,233,5875,3,0,0,1,True,False,0.0,-2.9802322387695312e-08,0.0,True,0,True,True,True,True
1,picking_up_trash,1,3,234,6750,4,1,0,1,True,False,0.0,0.3333333134651184,0.0,True,1,True,True,True,True
1,picking_up_trash,1,3,235,5179,3,0,0,1,True,False,0.0,-2.9802322387695312e-08,0.0,True,0,True,True,True,True
3,cleaning_up_plates_and_food,4,7,600,7945,65,30,0,1,True,False,0.0,0.285714253783226,0.0,True,2,True,True,True,True
3,cleaning_up_plates_and_food,4,7,601,9357,53,24,0,1,True,False,0.14285710453987122,0.285714253783226,0.9999997317790985,True,1,True,True,True,True
3,cleaning_up_plates_and_food,4,7,602,8686,51,23,0,1,True,False,0.14285710453987122,0.285714253783226,0.9999997317790985,True,1,True,True,True,True
3,cleaning_up_plates_and_food,4,7,603,14448,35,14,0,1,True,False,0.0,-4.470348358154297e-08,0.0,True,0,True,True,True,True
3,cleaning_up_plates_and_food,4,7,604,10051,42,19,0,1,True,False,0.285714253783226,0.4285714030265808,1.999999776482582,True,1,True,True,True,True
3,cleaning_up_plates_and_food,4,7,605,15279,36,16,0,1,True,False,0.14285710453987122,0.4285714030265808,0.9999997317790985,True,2,True,True,True,True
3,cleaning_up_plates_and_food,4,7,606,10597,52,24,0,1,True,False,0.14285710453987122,0.4285714030265808,0.9999997317790985,True,2,True,True,True,True
3,cleaning_up_plates_and_food,4,7,607,16848,24,10,0,1,True,False,0.285714253783226,0.4285714030265808,1.999999776482582,True,1,True,True,True,True
3,cleaning_up_plates_and_food,4,7,608,9914,45,20,0,1,True,False,0.14285710453987122,0.285714253783226,0.9999997317790985,True,1,True,True,True,True
3,cleaning_up_plates_and_food,4,7,609,17411,48,22,0,1,True,False,0.14285710453987122,0.4285714030265808,0.9999997317790985,True,2,True,True,True,True
3,cleaning_up_plates_and_food,4,7,610,16623,51,23,1,2,True,False,0.285714253783226,0.4285714030265808,1.999999776482582,True,1,True,True,True,True
3,cleaning_up_plates_and_food,4,7,611,10681,37,16,0,1,True,False,0.0,0.285714253783226,0.0,True,2,True,True,True,True
3,cleaning_up_plates_and_food,4,7,612,16339,19,7,0,1,True,False,0.14285710453987122,0.285714253783226,0.9999997317790985,True,1,True,True,True,True
3,cleaning_up_plates_and_food,4,7,613,9604,40,18,0,1,True,False,0.14285710453987122,0.4285714030265808,0.9999997317790985,True,2,True,True,True,True
3,cleaning_up_plates_and_food,4,7,614,17644,45,20,0,1,True,False,0.14285710453987122,0.285714253783226,0.9999997317790985,True,1,True,True,True,True
3,cleaning_up_plates_and_food,4,7,615,10362,34,15,0,1,True,False,0.14285710453987122,0.4285714030265808,0.9999997317790985,True,2,True,True,True,True
3,cleaning_up_plates_and_food,4,7,616,17062,27,12,0,1,True,False,0.285714253783226,0.5714285522699356,1.999999776482582,True,2,True,True,True,True
5,setting_mousetraps,2,6,1000,12850,9,3,1,2,True,False,0.3333333134651184,0.6666666567325592,1.9999998807907104,True,1,True,True,True,True
5,setting_mousetraps,2,6,1001,9949,17,6,1,2,True,False,0.0,0.3333333134651184,0.0,True,1,True,True,True,True
5,setting_mousetraps,2,6,1002,11002,13,4,0,1,True,False,0.166666641831398,0.166666641831398,0.9999998509883881,True,0,True,True,True,True
5,setting_mousetraps,2,6,1003,8898,6,1,0,1,True,False,0.3333333134651184,0.3333333134651184,1.9999998807907104,True,0,True,True,True,True
5,setting_mousetraps,2,6,1004,8011,12,4,0,1,True,False,0.3333333134651184,0.3333333134651184,1.9999998807907104,True,0,True,True,True,True
5,setting_mousetraps,2,6,1005,7720,4,0,0,1,True,False,0.3333333134651184,0.3333333134651184,1.9999998807907104,True,0,True,True,True,True
5,setting_mousetraps,2,6,1006,7736,9,3,1,3,True,False,0.3333333134651184,0.8333333134651184,1.9999998807907104,True,1,True,True,True,True
5,setting_mousetraps,2,6,1007,11710,10,2,0,1,True,False,0.0,-2.9802322387695312e-08,0.0,True,0,True,True,True,True
5,setting_mousetraps,2,6,1008,11857,9,2,0,1,True,False,0.166666641831398,0.166666641831398,0.9999998509883881,True,0,True,True,True,True
5,setting_mousetraps,2,6,1009,12203,9,2,0,1,True,False,0.166666641831398,0.166666641831398,0.9999998509883881,True,0,True,True,True,True
5,setting_mousetraps,2,6,1010,11368,7,1,0,1,True,False,0.166666641831398,0.166666641831398,0.9999998509883881,True,0,True,True,True,True
5,setting_mousetraps,2,6,1011,12320,9,2,0,1,True,False,0.166666641831398,0.166666641831398,0.9999998509883881,True,0,True,True,True,True
5,setting_mousetraps,2,6,1012,12260,4,0,0,1,True,False,0.3333333134651184,0.3333333134651184,1.9999998807907104,True,0,True,True,True,True
5,setting_mousetraps,2,6,1013,13207,10,3,1,3,True,False,0.166666641831398,0.666666641831398,0.9999998509883881,True,1,True,True,True,True
5,setting_mousetraps,2,6,1014,10030,5,0,0,1,True,False,0.166666641831398,0.166666641831398,0.9999998509883881,True,0,True,True,True,True
5,setting_mousetraps,2,6,1015,14119,9,2,0,1,True,False,0.166666641831398,0.166666641831398,0.9999998509883881,True,0,True,True,True,True
5,setting_mousetraps,2,6,1016,5993,4,0,0,1,True,False,0.3333333134651184,0.3333333134651184,1.9999998807907104,True,0,True,True,True,True
5,setting_mousetraps,2,6,1017,11252,5,0,0,1,True,False,0.166666641831398,0.166666641831398,0.9999998509883881,True,0,True,True,True,True
5,setting_mousetraps,2,6,1018,12619,17,7,1,2,True,False,0.3333333134651184,0.3333333134651184,1.9999998807907104,True,0,True,True,True,True
5,setting_mousetraps,2,6,1019,6132,5,1,1,3,True,False,0.3333333134651184,0.8333333134651184,1.9999998807907104,True,1,True,True,True,True
5,setting_mousetraps,2,6,1020,10698,7,1,0,1,True,False,0.166666641831398,0.166666641831398,0.9999998509883881,True,0,True,True,True,True
7,picking_up_toys,3,6,1400,19523,7,1,0,1,True,False,0.166666641831398,0.166666641831398,0.9999998509883881,True,0,True,True,True,True
7,picking_up_toys,3,6,1401,8267,7,1,0,1,True,False,0.166666641831398,0.166666641831398,0.9999998509883881,True,0,True,True,True,True
7,picking_up_toys,3,6,1402,15757,8,2,0,1,True,False,0.166666641831398,0.3333333134651184,0.9999998509883881,True,1,True,True,True,True
7,picking_up_toys,3,6,1403,14044,11,3,0,1,True,False,0.0,0.166666641831398,0.0,True,1,True,True,True,True
7,picking_up_toys,3,6,1404,14103,9,2,0,1,True,False,0.166666641831398,0.166666641831398,0.9999998509883881,True,0,True,True,True,True
7,picking_up_toys,3,6,1405,16731,6,0,0,1,True,False,0.0,-2.9802322387695312e-08,0.0,True,0,True,True,True,True
7,picking_up_toys,3,6,1406,12962,8,2,0,1,True,False,0.3333333134651184,0.3333333134651184,1.9999998807907104,True,0,True,True,True,True
7,picking_up_toys,3,6,1407,12646,6,0,0,1,True,False,0.0,-2.9802322387695312e-08,0.0,True,0,True,True,True,True
7,picking_up_toys,3,6,1408,10092,11,4,0,1,True,False,0.166666641831398,0.4999999850988388,0.9999998509883881,True,2,True,True,True,True
7,picking_up_toys,3,6,1409,8795,7,1,0,1,True,False,0.166666641831398,0.166666641831398,0.9999998509883881,True,0,True,True,True,True
7,picking_up_toys,3,6,1410,20442,9,2,0,1,True,False,0.0,0.166666641831398,0.0,True,1,True,True,True,True
7,picking_up_toys,3,6,1411,22442,7,1,0,1,True,False,0.0,0.166666641831398,0.0,True,1,True,True,True,True
7,picking_up_toys,3,6,1412,8640,6,0,0,1,True,False,0.0,-2.9802322387695312e-08,0.0,True,0,True,True,True,True
7,picking_up_toys,3,6,1413,9677,10,2,0,1,True,False,0.0,-2.9802322387695312e-08,0.0,True,0,True,True,True,True
7,picking_up_toys,3,6,1414,20106,6,0,0,1,True,False,0.0,-2.9802322387695312e-08,0.0,True,0,True,True,True,True
9,putting_up_Christmas_decorations_inside,5,9,1800,16208,12,2,0,1,True,False,0.1111111044883728,0.1111111044883728,0.9999999403953552,True,0,True,True,True,True
9,putting_up_Christmas_decorations_inside,5,9,1801,12024,14,6,0,1,True,False,0.3333333283662796,0.7777777761220932,2.9999999552965164,True,4,True,True,True,True
9,putting_up_Christmas_decorations_inside,5,9,1802,12506,8,0,0,1,True,False,0.1111111044883728,0.1111111044883728,0.9999999403953552,True,0,True,True,True,True
9,putting_up_Christmas_decorations_inside,5,9,1803,14890,12,3,0,1,True,False,0.2222222164273262,0.3333333283662796,1.9999999478459358,True,1,False,True,True,False
9,putting_up_Christmas_decorations_inside,5,9,1804,12077,11,2,0,1,True,False,0.2222222164273262,0.2222222164273262,1.9999999478459358,True,0,True,True,True,True
9,putting_up_Christmas_decorations_inside,5,9,1805,19307,9,2,0,1,True,False,0.444444440305233,0.444444440305233,3.999999962747097,True,0,True,True,True,True
9,putting_up_Christmas_decorations_inside,5,9,1806,12185,13,3,0,1,True,False,0.2222222164273262,0.2222222164273262,1.9999999478459358,True,0,True,True,True,True
9,putting_up_Christmas_decorations_inside,5,9,1807,14166,14,4,2,3,True,False,0.1111111044883728,0.6666666716337204,0.9999999403953552,True,2,True,True,True,True
9,putting_up_Christmas_decorations_inside,5,9,1808,12941,21,7,1,3,True,False,0.1111111044883728,0.4444444477558136,0.9999999403953552,True,1,True,True,True,True
9,putting_up_Christmas_decorations_inside,5,9,1809,13861,18,5,0,1,True,False,0.1111111044883728,0.1111111044883728,0.9999999403953552,True,0,True,True,True,True
9,putting_up_Christmas_decorations_inside,5,9,1810,18503,25,11,1,2,True,False,0.7777777761220932,0.7777777761220932,6.999999985098839,True,0,False,False,True,False
9,putting_up_Christmas_decorations_inside,5,9,1811,12429,26,10,1,2,True,False,0.2222222164273262,0.444444440305233,1.9999999478459358,True,1,True,True,True,True
9,putting_up_Christmas_decorations_inside,5,9,1812,12835,12,3,0,1,True,False,0.2222222164273262,0.3333333283662796,1.9999999478459358,True,1,True,True,True,True
9,putting_up_Christmas_decorations_inside,5,9,1813,11581,18,5,0,1,True,False,0.1111111044883728,0.1111111044883728,0.9999999403953552,True,0,True,True,True,True
9,putting_up_Christmas_decorations_inside,5,9,1814,16198,18,5,0,1,True,False,0.1111111044883728,0.1111111044883728,0.9999999403953552,True,0,True,True,True,True
9,putting_up_Christmas_decorations_inside,5,9,1815,11203,22,7,0,1,True,False,0.1111111044883728,0.1111111044883728,0.9999999403953552,True,0,True,True,True,True
10,set_up_a_coffee_station_in_your_kitchen,6,6,2000,3598,6,1,0,1,True,False,0.3333333134651184,0.3333333134651184,1.9999998807907104,True,0,True,True,True,True
10,set_up_a_coffee_station_in_your_kitchen,6,6,2001,6748,6,1,0,1,True,False,0.3333333134651184,0.3333333134651184,1.9999998807907104,True,0,True,True,True,True
10,set_up_a_coffee_station_in_your_kitchen,6,6,2002,8871,8,1,0,1,True,False,0.0,-2.9802322387695312e-08,0.0,True,0,True,True,True,True
10,set_up_a_coffee_station_in_your_kitchen,6,6,2003,4510,11,4,0,1,True,False,0.3333333134651184,0.4999999850988388,1.9999998807907104,True,1,True,True,True,True
10,set_up_a_coffee_station_in_your_kitchen,6,6,2004,7839,7,1,0,1,True,False,0.166666641831398,0.166666641831398,0.9999998509883881,True,0,True,True,True,True
10,set_up_a_coffee_station_in_your_kitchen,6,6,2005,7071,13,5,0,1,True,False,0.3333333134651184,0.4999999850988388,1.9999998807907104,True,1,True,True,True,True
