task_index_sample,task_name,D_sample,D_full,D_changed,episodes,n_episodes,phi0_mean_sample,phi0_mean_full,phi0_delta,episodes_phi0_gt0,phi0_frac_gt0,valid_rate_sample,valid_rate_full,valid_delta,integrality_ok,reward_instrumentation,drop_reasons,note
0,turning_on_radio,1.0,1.0,False,98,200,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,True,ok,{},
1,picking_up_trash,3.0,3.0,False,71,200,0.028986,0.050251,0.021264999999999996,28.0,0.1407,0.9718,0.995,0.0232,True,ok,"{""phi0_out_of_range"": 1}",
2,putting_away_Halloween_decorations,7.0,7.0,False,45,200,0.087912,0.088697,0.000784999999999994,90.0,0.4945,0.8667,0.91,0.043300000000000005,True,ok,"{""not_terminated"": 1, ""phi0_out_of_range"": 17}",
3,cleaning_up_plates_and_food,7.0,7.0,False,51,200,0.15126,0.160086,0.008826,180.0,0.9045,1.0,0.995,-0.0050000000000000044,True,ok,"{""phi0_out_of_range"": 1}",
4,can_meat,9.0,9.0,False,48,200,0.406566,0.457912,0.051346,198.0,1.0,0.9167,0.99,0.07330000000000003,True,ok,"{""progress_out_of_range"": 2}",
5,setting_mousetraps,6.0,6.0,False,43,200,0.199187,0.190236,-0.008951000000000015,163.0,0.8232,0.9535,0.99,0.03649999999999998,True,ok,"{""not_terminated"": 1, ""progress_out_of_range"": 1}",
6,hiding_Easter_eggs,9.0,9.0,False,53,200,0.362683,0.378001,0.015317999999999998,199.0,1.0,1.0,0.995,-0.0050000000000000044,True,ok,"{""not_terminated"": 1}",
7,picking_up_toys,6.0,6.0,False,51,200,0.122449,0.126263,0.003813999999999984,106.0,0.5354,0.9608,0.99,0.029200000000000004,True,ok,"{""phi0_out_of_range"": 1, ""progress_out_of_range"": 1}",
8,rearranging_kitchen_furniture,,,False,59,200,,,,,,0.0,,,,BROKEN_no_signal,,no reward signal
9,putting_up_Christmas_decorations_inside,9.0,9.0,False,49,200,0.202279,0.212963,0.010684000000000027,186.0,0.9688,0.7959,0.96,0.1640999999999999,True,ok,"{""not_terminated"": 1, ""progress_out_of_range"": 7}",
10,set_up_a_coffee_station_in_your_kitchen,6.0,6.0,False,66,200,0.241071,0.266323,0.02525199999999997,188.0,0.9691,0.8485,0.97,0.12149999999999994,True,ok,"{""not_terminated"": 1, ""progress_out_of_range"": 5}",
