rank,tier,task,task_index,D,mean_episode_len,eval_timeout_frames,rel_eval_cost,valid_rate,episodes_total,episodes_measured,phi0_mean,phi0_frac_gt0,episodes_nonmonotonic,must_flip_predicates,n_goal_literals,reward_events_observed,denominator_status,reward_instrumentation,measurement
1,primary,turning_on_radio,0,1,2150,3224,0.2,1.0,200,200,0.0,0.0,1,1,1,1.0,CONSISTENT,ok,full-200ep
2,primary,hanging_pictures,34,1,2387,3581,0.23,0.99,200,200,0.0,0.0,0,1,1,1.0,CONSISTENT,ok,full-200ep
3,primary,vacuuming_floors,69,1,2412,3618,0.23,0.995,200,200,0.0,0.0,0,1,1,1.0,CONSISTENT,ok,full-200ep
4,primary,installing_smoke_detectors,63,1,2569,3853,0.24,1.0,200,200,0.0,0.0,0,1,1,1.0,CONSISTENT,ok,full-200ep
5,primary,scrubbing_bathroom_floor,60,1,3154,4731,0.3,1.0,200,200,0.0,0.0,0,1,1,1.0,CONSISTENT,ok,full-200ep
6,primary,make_cabinet_doors,78,1,3442,5164,0.33,1.0,200,200,0.0,0.0,0,1,1,1.0,CONSISTENT,ok,full-200ep
7,primary,clean_a_keyboard,93,1,3876,5814,0.37,1.0,200,200,0.0,0.0,0,1,1,1.0,CONSISTENT,ok,full-200ep
8,primary,attach_a_camera_to_a_tripod,35,1,3912,5867,0.37,1.0,200,200,0.0,0.0,0,1,1,1.0,CONSISTENT,ok,full-200ep
9,primary,clean_a_trumpet,37,1,5307,7961,0.5,0.99,200,200,0.0,0.0,0,1,1,1.0,CONSISTENT,ok,full-200ep
10,primary,store_honey,83,1,6767,10150,0.64,1.0,200,200,0.0,0.0,8,1,1,1.0,CONSISTENT,ok,full-200ep
11,primary,cook_bacon,46,7,7680,11519,0.73,0.985,200,200,-0.0,0.0,44,6,7,7.0,CONSISTENT,ok,full-200ep
12,primary,clean_a_patio,36,1,12071,18106,1.14,1.0,200,200,0.0,0.0,0,1,1,1.0,CONSISTENT,ok,full-200ep
,medium_D,chop_an_onion,42,4,6400,9600,0.61,1.0,200,200,0.065,0.24,146,4,4,3.74,UNDER_FIRES,ok,full-200ep
,medium_D,collecting_childrens_toys,21,6,19186,28779,1.82,0.945,200,200,0.067,0.3228,123,7,7,5.6,COLLAPSED,ok,full-200ep
,excluded_collapsed_denominator,clean_boxing_gloves,31,1,8235,12353,0.78,1.0,200,200,0.0,0.0,0,2,2,1.0,COLLAPSED,ok,full-200ep
,excluded_collapsed_denominator,wash_a_baseball_cap,32,1,8349,12524,0.79,1.0,200,200,0.0,0.0,0,2,2,1.0,COLLAPSED,ok,full-200ep
,excluded_collapsed_denominator,make_microwave_popcorn,40,1,3238,4857,0.31,1.0,200,200,0.0,0.0,0,2,2,1.0,COLLAPSED,ok,full-200ep
,excluded_collapsed_denominator,cook_cabbage,41,2,14145,21217,1.34,0.99,200,200,0.0,0.0,0,4,4,2.0,COLLAPSED,ok,full-200ep
,excluded_collapsed_denominator,cook_hot_dogs,45,1,9145,13717,0.87,0.99,200,200,0.0,0.0,0,2,2,1.0,COLLAPSED,ok,full-200ep
,excluded_collapsed_denominator,putting_away_toys,54,1,11297,16945,1.07,1.0,200,200,0.0,0.0,0,8,8,1.0,COLLAPSED,ok,full-200ep
,excluded_collapsed_denominator,re_shelving_library_books,55,1,9528,14293,0.9,1.0,200,200,0.0,0.0,2,3,3,1.0,COLLAPSED,ok,full-200ep
,excluded_collapsed_denominator,stacking_wood,58,1,15939,23909,1.51,1.0,200,200,0.0,0.0,126,6,6,1.0,COLLAPSED,ok,full-200ep
,excluded_collapsed_denominator,dispose_of_glass,76,1,9195,13793,0.87,1.0,200,200,0.0,0.0,4,4,4,1.0,COLLAPSED,ok,full-200ep
,excluded_collapsed_denominator,clean_up_broken_glass,80,1,8691,13037,0.82,1.0,200,200,0.0,0.0,8,3,3,1.0,COLLAPSED,ok,full-200ep
,excluded_collapsed_denominator,store_batteries,82,1,7704,11556,0.73,1.0,200,200,0.0,0.0,8,3,3,1.0,COLLAPSED,ok,full-200ep
,excluded_collapsed_denominator,collecting_aluminum_cans,87,1,10203,15304,0.97,1.0,200,200,0.0,0.0,7,6,6,1.0,COLLAPSED,ok,full-200ep
,excluded_collapsed_denominator,store_produce,91,1,9522,14284,0.9,1.0,200,200,0.0,0.0,0,4,4,1.0,COLLAPSED,ok,full-200ep
